ICBC,organization
China Construction Bank,organization
Agricultural Bank of China,organization
JPMorgan Chase,organization
Berkshire Hathaway,organization
Exxon Mobil,organization
General Electric,organization
Wells Fargo,organization
Bank of China,organization
PetroChina,organization
Royal Dutch Shell,organization
Toyota Motor,organization
Bank of America,organization
HSBC Holdings,organization
Apple,organization
Citigroup,organization
BP,organization
Chevron,organization
Volkswagen Group,organization
Wal-Mart Stores,organization
Gazprom,organization
Samsung Electronics,organization
AT&T,organization
BNP Paribas,organization
Total,organization
Verizon Communications,organization
Allianz,organization
China Mobile,organization
Sinopec-China Petroleum,organization
Petrobras,organization
Daimler,organization
Microsoft,organization
AXA Group,organization
Rosneft,organization
IBM,organization
Nestle,organization
Mitsubishi UFJ Financial,organization
Vodafone,organization
Eni,organization
Procter & Gamble,organization
Johnson & Johnson,organization
American International Group,organization
Banco Santander,organization
BHP Billiton,organization
Pfizer,organization
ItaÃº Unibanco Holding,organization
Ford Motor,organization
BMW Group,organization
Commonwealth Bank,organization
EDF,organization
Statoil,organization
Google,organization
Siemens,organization
Novartis,organization
Royal Bank of Canada,organization
Sumitomo Mitsui Financial,organization
Comcast,organization
Sberbank,organization
Goldman Sachs Group,organization
Westpac Banking Group,organization
Nippon Telegraph & Tel,organization
Ping An Insurance Group,organization
Banco Bradesco,organization
Anheuser-Busch InBev,organization
Bank of Communications,organization
China Life Insurance,organization
General Motors,organization
TelefÃ³nica,organization
MetLife,organization
Honda Motor,organization
Enel,organization
BASF,organization
Softbank,organization
National Australia Bank,organization
ANZ,organization
TD Bank Group,organization
ConocoPhillips,organization
Intel,organization
UBS,organization
Hewlett-Packard,organization
Coca-Cola,organization
Cisco Systems,organization
LukOil,organization
Boeing,organization
Zurich Insurance Group,organization
UnitedHealth Group,organization
Hyundai Motor,organization
Sanofi,organization
Credit Agricole,organization
United Technologies,organization
Roche Holding,organization
Munich Re,organization
PepsiCo,organization
Oracle,organization
Bank of Nova Scotia,organization
CVS Caremark,organization
ING Group,organization
Saudi Basic Industries,organization
Merck & Co,organization
Walt Disney,organization
Mizuho Financial,organization
China Merchants Bank,organization
SociÃ©tÃ© GÃ©nÃ©rale,organization
American Express,organization
Banco do Brasil,organization
Morgan Stanley,organization
Prudential,organization
CNOOC,organization
Rio Tinto,organization
Unilever,organization
Nissan Motor,organization
Credit Suisse Group,organization
E.ON,organization
Generali Group,organization
AmÃ©rica MÃ³vil,organization
GlaxoSmithKline,organization
Schlumberger,organization
BBVA-Banco Bilbao Vizcaya,organization
Nordea Bank,organization
Bayer,organization
China Minsheng Banking,organization
Caterpillar,organization
Standard Chartered,organization
China Shenhua Energy,organization
US Bancorp,organization
Mitsubishi Corp,organization
Dow Chemical,organization
Ecopetrol,organization
Industrial Bank,organization
Shanghai Pudong Development,organization
EADS,organization
Swiss Re,organization
Iberdrola,organization
China Citic Bank,organization
Reliance Industries,organization
Hutchison Whampoa,organization
Home Depot,organization
Hitachi,organization
Hon Hai Precision,organization
Phillips 66,organization
Capital One Financial,organization
MÃ¸ller-Maersk,organization
Aviva,organization
France Telecom,organization
Deutsche Telekom,organization
Bank of Montreal,organization
VINCI,organization
MondelÄ“z International,organization
Suncor Energy,organization
China Telecom,organization
Occidental Petroleum,organization
"Twenty-First Century Fox, Inc.",organization
Mitsui & Co,organization
Qualcomm,organization
State Bank of India,organization
Time Warner,organization
Philip Morris International,organization
Honeywell International,organization
Express Scripts,organization
United Parcel Service,organization
Barclays,organization
PNC Financial Services,organization
Deutsche Post,organization
AIA Group,organization
Duke Energy,organization
Delta Air Lines,organization
Deutsche Bank,organization
National Grid,organization
ABB,organization
Amgen,organization
EI du Pont de Nemours,organization
L'OrÃ©al Group,organization
Manulife Financial,organization
British American Tobacco,organization
SAIC Motor,organization
Oil & Natural Gas,organization
Walgreen,organization
KDDI,organization
Valero Energy,organization
PTT PCL,organization
Travelers Cos,organization
Canadian Imperial Bank,organization
AstraZeneca,organization
Deere & Co,organization
Union Pacific,organization
McDonald's,organization
WellPoint,organization
Aflac,organization
Tokio Marine Holdings,organization
Taiwan Semiconductor,organization
Legal & General Group,organization
Christian Dior,organization
China Unicom,organization
3M,organization
Allstate,organization
Schneider Electric,organization
DNB,organization
Lockheed Martin,organization
Surgutneftegas,organization
Target,organization
ACE,organization
Denso,organization
Nomura Holdings,organization
Nippon Steel & Sumitomo Metal,organization
Wesfarmers,organization
China Everbright Bank,organization
SAP,organization
Jardine Matheson,organization
Japan Tobacco,organization
BG Group,organization
Itochu,organization
Carrefour,organization
SABMiller,organization
Bank of New York Mellon,organization
Continental,organization
EMC,organization
Costco Wholesale,organization
BT Group,organization
Eli Lilly & Co,organization
Seven & I Holdings,organization
Canon,organization
Lowe's Cos,organization
China State Construction,organization
Freeport-McMoRan Copper,organization
Telstra,organization
LyondellBasell Industries,organization
China Pacific Insurance,organization
Diageo,organization
Abbott Laboratories,organization
Gas Natural Fenosa,organization
Danske Bank,organization
Aetna,organization
Sony,organization
Aegon,organization
Ericsson,organization
Posco,organization
East Japan Railway,organization
Brookfield Asset Management,organization
Altria Group,organization
BlackRock,organization
Exelon,organization
Danone,organization
Archer Daniels Midland,organization
McKesson,organization
Heineken Holding,organization
Panasonic,organization
Hess,organization
People's Insurance Company,organization
Shinhan Financial Group,organization
eBay,organization
Natixis,organization
Time Warner Cable,organization
General Dynamics,organization
AbbVie,organization
Medtronic,organization
EXOR,organization
Bristol-Myers Squibb,organization
KIA Motors,organization
SEB,organization
KBC Group,organization
FedEx,organization
Renault,organization
VTB Bank,organization
Sumitomo Corp,organization
CNP Assurances,organization
MS&AD Insurance,organization
Hyundai Mobis,organization
Halliburton,organization
Danaher,organization
Apache,organization
Sun Life Financial,organization
Marathon Petroleum,organization
Southern Co,organization
Ping An Bank,organization
Linde,organization
NextEra Energy,organization
Saint-Gobain,organization
Canadian Natural Resources,organization
Transneft,organization
Visa,organization
Rolls-Royce Holdings,organization
JX Holdings,organization
Imperial Tobacco Group,organization
Woolworths,organization
Bridgestone,organization
Cigna,organization
Standard Bank Group,organization
DBS Group,organization
Svenska Handelsbanken,organization
BCE,organization
Centrica,organization
National Oilwell Varco,organization
Air Liquide,organization
Teva Pharmaceutical Inds,organization
Old Mutual,organization
Philips,organization
Swedbank,organization
Oversea-Chinese Banking,organization
Eaton,organization
Directv,organization
Dai-ichi Life Insurance,organization
Marubeni,organization
Fresenius,organization
ICICI Bank,organization
China Vanke,organization
China Communications Construction,organization
State Street,organization
Central Japan Railway,organization
Kroger,organization
Johnson Controls,organization
China Railway Construction,organization
Henkel,organization
Inditex,organization
Emerson Electric,organization
Husky Energy,organization
Wilmar International,organization
Teliasonera,organization
Dominion Resources,organization
BB&T,organization
China Railway Group,organization
Sasol,organization
NIKE,organization
Kinder Morgan,organization
SingTel,organization
CaixaBank,organization
OMV Group,organization
Maybank,organization
Holcim,organization
Reckitt Benckiser Group,organization
Telenor,organization
EOG Resources,organization
Tata Motors,organization
Power Corp of Canada,organization
Monsanto,organization
Raytheon,organization
SSE,organization
Mitsubishi Heavy Industries,organization
Chubb,organization
Accenture,organization
Mitsubishi Electric,organization
American Electric,organization
HCA Holdings,organization
Standard Life,organization
Enbridge,organization
Northrop Grumman,organization
WPP,organization
Kraft Foods Group,organization
Takeda Pharmaceutical,organization
Discover Financial Services,organization
EDP-Energias de Portugal,organization
Safran,organization
Volvo Group,organization
Investor,organization
Sumitomo Mitsui Trust,organization
Fannie Mae,organization
Samsung Life Insurance,organization
Las Vegas Sands,organization
Baxter International,organization
Michelin Group,organization
Anadarko Petroleum,organization
Sun Hung Kai Properties,organization
Ameriprise Financial,organization
International Paper,organization
Gilead Sciences,organization
Huaxia Bank,organization
Kimberly-Clark,organization
United Overseas Bank,organization
CBS,organization
Toshiba,organization
KB Financial Group,organization
Richemont,organization
Merck,organization
Femsa,organization
Marathon Oil,organization
Carnival,organization
Mapfre,organization
Freddie Mac,organization
MTN Group,organization
General Mills,organization
Viacom,organization
Lafarge,organization
Grupo ACS,organization
Thermo Fisher Scientific,organization
Sistema,organization
Baker Hughes,organization
Automatic Data,organization
Canadian National Railway,organization
Orix,organization
Talanx,organization
TransCanada,organization
Lloyds Banking Group,organization
Isbank,organization
Saudi Telecom,organization
CSX,organization
Norfolk Southern,organization
Lincoln National,organization
Macy's,organization
Pernod Ricard,organization
Novo Nordisk,organization
Cathay Financial,organization
Huaneng Power International,organization
Royal Ahold,organization
SunTrust Banks,organization
NKSJ Holdings,organization
GDF SUEZ,organization
Glencore International,organization
Qatar National Bank,organization
Sampo,organization
Magna International,organization
Komatsu,organization
Fubon Financial,organization
Inpex,organization
PG&E,organization
Garanti Bank,organization
Illinois Tool Works,organization
Indian Oil,organization
Mitsui Fudosan,organization
Humana,organization
Fuji Heavy Industries,organization
Syngenta,organization
HDFC Bank,organization
Texas Instruments,organization
Colgate-Palmolive,organization
NTPC,organization
Royal Bank of Scotland,organization
Tencent Holdings,organization
Swisscom,organization
Coal India,organization
Bank of Beijing,organization
PPL,organization
AMP,organization
Macquarie Group,organization
Prudential Financial,organization
HeidelbergCement,organization
UniCredit Group,organization
Suzuki Motor,organization
Praxair,organization
Edison International,organization
SK Hynix,organization
PPG Industries,organization
JFE Holdings,organization
Vale,organization
Tenaga Nasional,organization
Resona Holdings,organization
Toyota Industries,organization
Daiwa Securities,organization
Fifth Third Bancorp,organization
United Continental Holdings,organization
H&M,organization
KoÃ§ Holding,organization
Chesapeake Energy,organization
Amazon.com,organization
Intesa Sanpaolo,organization
Paccar,organization
Aon,organization
Xerox,organization
Hana Financial Group,organization
Etisalat,organization
Loews,organization
Tokyo Electric Power,organization
CIMB Group Holdings,organization
SK Telecom,organization
TJX Cos,organization
Charles Schwab,organization
Associated British Foods,organization
Tesco,organization
Principal Financial Group,organization
Mitsubishi Estate,organization
GFNorte,organization
Ageas,organization
Repsol YPF,organization
Sempra Energy,organization
T&D Holdings,organization
New China Life Insurance,organization
FirstRand,organization
Aeon,organization
Akzo Nobel,organization
Bank Mandiri,organization
Rogers Communications,organization
Swiss Life Holding,organization
Novatek,organization
Corning,organization
Fujifilm Holdings,organization
Bank Rakyat Indonesia,organization
CEZ Group,organization
Consolidated Edison,organization
Akbank,organization
Micron Technology,organization
Covidien,organization
Progressive,organization
Saudi Electricity,organization
ArcelorMittal,organization
Alstom,organization
National Bank of Canada,organization
Formosa Petrochemical,organization
Cummins,organization
SK Innovation,organization
TE Connectivity,organization
Ecolab,organization
Larsen & Toubro,organization
Gree Electric Appliances,organization
Public Service Enterprise,organization
Piraeus Bank,organization
Precision Castparts,organization
RWE Group,organization
MasterCard,organization
Fortescue Metals Group,organization
Kellogg,organization
Kirin Holdings,organization
Facebook,organization
Poly Real Estate,organization
Baoshan Iron & Steel,organization
Fortum,organization
Atlas Copco,organization
Norilsk Nickel,organization
Cheung Kong Holdings,organization
Toyota Tsusho,organization
Sysco,organization
Tatneft,organization
DISH Network,organization
Safeway,organization
Adidas,organization
Cenovus Energy,organization
Korea Electric Power,organization
Omnicom Group,organization
Cardinal Health,organization
Thales,organization
Otsuka Holding,organization
Grupo Mexico,organization
CLP Holdings,organization
Swire Pacific,organization
Kyocera,organization
Marsh & McLennan,organization
China Resources Land,organization
HDFC,organization
Raiffeisen Bank International,organization
Shin-Etsu Chemical,organization
CIC Group,organization
Suncorp Group,organization
